country,metric,current_value,prior_value,yoy_pct,share_current,share_prior,share_change_pp
ITALY,teu,46.0,6.0,666.67,0.4,0.08,0.32
GUATEMALA,vrac,5.0,0.0,0.0,0.32,0.0,0.32
COSTA RICA,weight_kg,93455.76000000001,879175.68,-89.37,0.02,0.31,-0.29
ITALY,container,25.0,3.0,733.33,0.36,0.07,0.29
MALAYSIA,teu,19.0,34.0,-44.12,0.17,0.45,-0.28
TAIWAN,container,45.0,41.0,9.76,0.64,0.92,-0.28
SURINAME,weight_kg,1040000.0,0.0,0.0,0.26,0.0,0.26
SPAIN,teu,102.25,48.75,109.74,0.9,0.64,0.26
PERU,shipment,71.0,36.0,97.22,1.45,1.19,0.26
EGYPT,vrac,4.0,0.0,0.0,0.26,0.0,0.26
TURKEY,teu,50.5,14.5,248.28,0.44,0.19,0.25
MEXICO,shipment,22.0,6.0,266.67,0.45,0.2,0.25
PAKISTAN,shipment,13.0,1.0,1200.0,0.27,0.03,0.24
ITALY,shipment,16.0,3.0,433.33,0.33,0.1,0.23
FRANCE,weight_kg,2006929.2,842158.34,138.31,0.5,0.29,0.21
MOROCCO,teu,4.0,18.0,-77.78,0.04,0.24,-0.2
MEXICO,teu,46.0,16.0,187.5,0.4,0.21,0.19
INDIA,container,650.0,407.0,59.71,9.31,9.12,0.19
MALAYSIA,weight_kg,242332.16999999998,695617.83,-65.16,0.06,0.24,-0.18
TURKEY,container,30.0,11.0,172.73,0.43,0.25,0.18
UNITED ARAB EMIRATES,teu,35.0,11.0,218.18,0.31,0.14,0.17
MOROCCO,container,2.0,9.0,-77.78,0.03,0.2,-0.17
SPAIN,shipment,34.0,16.0,112.5,0.69,0.53,0.16
THAILAND,shipment,9.0,1.0,800.0,0.18,0.03,0.15
ARGENTINA,container,7.0,11.0,-36.36,0.1,0.25,-0.15
MEXICO,container,26.0,10.0,160.0,0.37,0.22,0.15
UNITED ARAB EMIRATES,container,18.0,5.0,260.0,0.26,0.11,0.15
TAIWAN,teu,47.0,42.0,11.9,0.41,0.55,-0.14
HAITI,shipment,7.0,0.0,0.0,0.14,0.0,0.14
NICARAGUA,shipment,7.0,0.0,0.0,0.14,0.0,0.14
UNITED ARAB EMIRATES,shipment,14.0,5.0,180.0,0.29,0.16,0.13
UNITED KINGDOM,container,9.0,0.0,0.0,0.13,0.0,0.13
NETHERLAND ANTILLES,vrac,2.0,0.0,0.0,0.13,0.0,0.13
PAKISTAN,vrac,0.0,1.0,-100.0,0.0,0.13,-0.13
PERU,weight_kg,5701835.01,3738468.79,52.52,1.42,1.3,0.12
ARGENTINA,teu,9.0,15.0,-40.0,0.08,0.2,-0.12
UNITED KINGDOM,teu,12.0,0.0,0.0,0.11,0.0,0.11
COSTA RICA,shipment,6.0,7.0,-14.29,0.12,0.23,-0.11
SOUTH KOREA,shipment,25.0,12.0,108.33,0.51,0.4,0.11
NICARAGUA,container,8.0,0.0,0.0,0.11,0.0,0.11
HAITI,weight_kg,422401.18,0.0,0.0,0.1,0.0,0.1
SENEGAL,teu,20.0,6.0,233.33,0.18,0.08,0.1
TRINIDAD AND TOBAGO,teu,69.0,54.0,27.78,0.61,0.71,-0.1
TURKEY,shipment,16.0,7.0,128.57,0.33,0.23,0.1
SOUTH KOREA,teu,44.0,23.0,91.3,0.39,0.3,0.09
COLOMBIA,shipment,98.0,58.0,68.97,2.0,1.91,0.09
VIETNAM,shipment,24.0,12.0,100.0,0.49,0.4,0.09
CANADA,weight_kg,1129093.25,568502.8,98.61,0.28,0.2,0.08
ITALY,weight_kg,409590.0,67020.0,511.15,0.1,0.02,0.08
MOROCCO,weight_kg,52671.0,254277.94,-79.29,0.01,0.09,-0.08
TAIWAN,weight_kg,797444.0000000001,798779.0399999999,-0.17,0.2,0.28,-0.08
PERU,teu,284.0,196.0,44.9,2.49,2.57,-0.08
JAPAN,shipment,9.0,3.0,200.0,0.18,0.1,0.08
SURINAME,shipment,4.0,0.0,0.0,0.08,0.0,0.08
UNITED KINGDOM,shipment,4.0,0.0,0.0,0.08,0.0,0.08
THAILAND,weight_kg,262016.71000000002,9720.0,2595.65,0.07,0.0,0.07
NICARAGUA,teu,8.0,0.0,0.0,0.07,0.0,0.07
OMAN,teu,8.0,0.0,0.0,0.07,0.0,0.07
ARGENTINA,shipment,3.0,4.0,-25.0,0.06,0.13,-0.07
POLAND,shipment,16.0,8.0,100.0,0.33,0.26,0.07
TRINIDAD AND TOBAGO,shipment,13.0,6.0,116.67,0.27,0.2,0.07
US VIRGIN ISLANDS,shipment,16.0,12.0,33.33,0.33,0.4,-0.07
SENEGAL,container,10.0,3.0,233.33,0.14,0.07,0.07
SPAIN,container,55.0,32.0,71.88,0.79,0.72,0.07
