country_origin,hs_code,hs_description,period_value,ytd_value,share_of_total,period_value_teu,ytd_value_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,share_of_total_shipment,period_value_container,ytd_value_container,share_of_total_container,period_value_vrac,ytd_value_vrac,share_of_total_vrac
BRAZIL,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",130885.0,130885.0,0.03249298050264443,5.0,5.0,0.043857725538353584,1,1,0.020403999183840033,5,5,0.07161271841879117,0,0,0.0
BRAZIL,1704,"Sugar confectionery (including white chocolate), not containing cocoa",26633.6,26633.6,0.006611949768997446,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,1901,"Malt extract; flour/groats/meal/starch/malt extract products, no cocoa (or less than 40% by weight) and food preparations of goods of headings 04.01 to 04.04, no cocoa (or less than 5% by weight), wei",13365.3,13365.3,0.003318015298254144,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,2106,Food preparations not elsewhere specified or included,44475.0,44475.0,0.011041183541697759,2.0,2.0,0.017543090215341433,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
BRAZIL,2203,Beer made from malt,98908.99,98908.99,0.02455474564393363,6.0,6.0,0.052629270646024295,3,3,0.0612119975515201,4,4,0.057290174735032943,0,0,0.0
BRAZIL,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",501434.26,501434.26,0.124484040444191,36.0,36.0,0.3157756238761458,14,14,0.28565598857376046,18,18,0.2578057863076482,0,0,0.0
BRAZIL,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liqueurs and other spirituous beverages",27256.8,27256.8,0.006766662879355761,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,2309,Preparations of a kind used in animal feeding,26070.08,26070.08,0.006472052573957142,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",141240.0,141240.0,0.03506367090341521,10.0,10.0,0.08771545107670717,1,1,0.020403999183840033,5,5,0.07161271841879117,0,0,0.0
BRAZIL,3926,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter 39",4922.6,4922.6,0.0012220647577821562,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances",268128.0,268128.0,0.06656437235904074,20.0,20.0,0.17543090215341434,1,1,0.020403999183840033,10,10,0.14322543683758235,0,0,0.0
BRAZIL,4412,"Plywood, veneered panels and similar laminated wood",358840.0,358840.0,0.08908416643289092,26.0,26.0,0.22806017279943863,5,5,0.10201999591920016,13,13,0.18619306788885706,0,0,0.0
BRAZIL,4418,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled flooring panels, shingles and shakes",213708.0,213708.0,0.053054283357597404,20.0,20.0,0.17543090215341434,2,2,0.040807998367680065,10,10,0.14322543683758235,0,0,0.0
BRAZIL,4421,Wooden articles n.e.c. in heading no. 4414 to 4420,286464.0,286464.0,0.07111639352645097,20.0,20.0,0.17543090215341434,1,1,0.020403999183840033,10,10,0.14322543683758235,0,0,0.0
BRAZIL,4812,"Filter blocks, slabs and plates of paper pulp",23669.0,23669.0,0.005875970168599084,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",3218902.94,3218902.94,0.7991118193018668,121.0,121.0,1.0613569580281565,22,22,0.4488879820444807,121,121,1.7330277857347465,0,0,0.0
BRAZIL,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures of glass",27804.21,27804.21,0.006902560670981635,2.25,2.25,0.01973597649225911,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
BRAZIL,7321,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances and parts, of iron or st",28353.04,28353.04,0.0070388109860617925,10.0,10.0,0.08771545107670717,2,2,0.040807998367680065,5,5,0.07161271841879117,0,0,0.0
CAMBODIA,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",13436.0,13436.0,0.0033355669941821492,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CANADA,0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",26711.25,26711.25,0.006631226843803806,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CANADA,0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",136524.0,136524.0,0.03389289582567161,10.0,10.0,0.08771545107670717,5,5,0.10201999591920016,5,5,0.07161271841879117,0,0,0.0
CANADA,0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",54440.0,54440.0,0.013515054120517728,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CANADA,2106,Food preparations not elsewhere specified or included,34524.0,34524.0,0.00857078854622987,2.0,2.0,0.017543090215341433,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CANADA,4813,"Cigarette paper, whether or not cut to size or in the form of booklets or tubes",12550.0,12550.0,0.003115612219186214,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CANADA,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4837.0,4837.0,0.0012008140481437224,2.0,2.0,0.017543090215341433,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CANADA,9999,Commodities not specified according to kind,859507.0,859507.0,0.2133777300140307,171.25,171.25,1.5021270996886102,84,84,1.7139359314425628,84,84,1.2030936694356917,0,0,0.0
CHILE,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",68634.0,68634.0,0.01703879912761965,3.0,3.0,0.026314635323012148,1,1,0.020403999183840033,3,3,0.042967631051274706,0,0,0.0
CHILE,2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances",24578.95,24578.95,0.006101870673686613,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHILE,9999,Commodities not specified according to kind,21235.0,21235.0,0.0052717151772445625,2.25,2.25,0.01973597649225911,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",361477.78,361477.78,0.08973901102249451,26.5,26.5,0.23244594535327398,6,6,0.1224239951030402,13,13,0.18619306788885706,0,0,0.0
CHINA,0701,Potatoes; fresh or chilled,29844.6,29844.6,0.007409099636392421,8.0,8.0,0.07017236086136573,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",145400.0,145400.0,0.03609641567089048,10.75,10.75,0.0942941099074602,4,4,0.08161599673536013,5,5,0.07161271841879117,0,0,0.0
CHINA,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",16640.0,16640.0,0.004130979069901084,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,1301,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)",22272.0,22272.0,0.00552915660125222,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,721892.09,721892.09,0.17921400928588638,34.0,34.0,0.2982325336608044,13,13,0.26525198938992045,34,34,0.48696648524778,0,0,0.0
CHINA,1704,"Sugar confectionery (including white chocolate), not containing cocoa",55849.5,55849.5,0.013864970887286093,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,1904,Prepared foods obtained by swelling or roasting cereals or cereal products (e.g. corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (not flou,56190.0,56190.0,0.013949502039527759,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",51180.7,51180.7,0.012705913490558078,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,158390.41999999998,158390.41999999998,0.03932136477721406,7.0,7.0,0.061400815753695014,2,2,0.040807998367680065,7,7,0.10025780578630765,0,0,0.0
CHINA,2102,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading no. 3002); prepared baking powders",53485.0,53485.0,0.013277969684715112,4.0,4.0,0.035086180430682866,1,1,0.020403999183840033,2,2,0.028645087367516472,0,0,0.0
CHINA,2103,"Sauces and preparations therefor; mixed condiments and mixed seasonings, mustard flour and meal and prepared mustard",16160.0,16160.0,0.004011816212115476,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,2106,Food preparations not elsewhere specified or included,90076.0,90076.0,0.022361903287284258,6.0,6.0,0.052629270646024295,3,3,0.0612119975515201,4,4,0.057290174735032943,0,0,0.0
CHINA,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",15113.0,15113.0,0.003751892228570618,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,2809,Diphosphorus pentoxide; phosphoric acid and polyphosphoric acids,27200.0,27200.0,0.0067525619411844635,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,2827,Chlorides; chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides,225892.8,225892.8,0.05607923250248507,16.0,16.0,0.14034472172273146,1,1,0.020403999183840033,8,8,0.11458034947006589,0,0,0.0
CHINA,2835,"Phosphinates (hypophosphites), phosphonates (phosphites), and phosphates; and polyphosphates, whether or not chemically defined",27216.0,27216.0,0.006756534036443984,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,2836,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate,297396.0,297396.0,0.07383032761251819,18.0,18.0,0.1578878119380729,3,3,0.0612119975515201,11,11,0.15754798052134059,0,0,0.0
CHINA,2842,"Salts of inorganic acids or peroxoacids, n.e.c. including aluminosilicates whether or not chemically defined, but excluding azides",98967.0,98967.0,0.02456914697180893,6.0,6.0,0.052629270646024295,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",23115.46,23115.46,0.005738550567976905,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,2915,"Acids; saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",165472.0,165472.0,0.041079409173958664,12.0,12.0,0.10525854129204859,4,4,0.08161599673536013,6,6,0.08593526210254941,0,0,0.0
CHINA,2916,"Acids; unsaturated acyclic monocarboxylic, cyclic monocarboxylic, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",26135.2,26135.2,0.00648821900166339,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,2918,"Acids; carboxylic acid with additional oxygen function and their anhydrides, halides, peroxides, peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",184735.99,184735.99,0.045861809383861536,7.0,7.0,0.061400815753695014,2,2,0.040807998367680065,7,7,0.10025780578630765,0,0,0.0
CHINA,2936,"Provitamins, vitamins; natural or reproduced by synthesis (including natural concentrates) derivatives thereof used as vitamins, and intermixtures of the fore-going, whether or not in any solvent",26500.0,26500.0,0.006578782773580452,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal",11347.2,11347.2,0.0028170099580517773,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,3005,"Wadding, gauze, bandages (dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or in forms or packings for retail sale, for medical, surgical or veterinary us",29000.0,29000.0,0.0071994226578804945,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,3006,Pharmaceutical goods,27477.0,27477.0,0.0068213288403649085,6.0,6.0,0.052629270646024295,3,3,0.0612119975515201,3,3,0.042967631051274706,0,0,0.0
CHINA,3209,"Paints and varnishes (including enamels and lacquers) based on synthetic or chemically modified natural polymers, dispersed or dissolved in an aqueous medium",21410.0,21410.0,0.005315159969145565,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,3214,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for facades, indoor walls, floors, ceilings or the like",56000.0,56000.0,0.013902333408320955,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,3303,Perfumes and toilet waters,26355.0,26355.0,0.00654278566029105,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",97854.0,97854.0,0.02429283809531855,10.0,10.0,0.08771545107670717,5,5,0.10201999591920016,5,5,0.07161271841879117,0,0,0.0
CHINA,3305,Hair preparations; for use on the hair,45612.25,45612.25,0.011323512625065847,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,3306,"Oral or dental hygiene preparations; including fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",442022.8,442022.8,0.10973479177999236,36.0,36.0,0.3157756238761458,9,9,0.1836359926545603,18,18,0.2578057863076482,0,0,0.0
CHINA,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",284004.6,284004.6,0.07050583283387195,28.0,28.0,0.24560326301478005,3,3,0.0612119975515201,14,14,0.2005156115726153,0,0,0.0
CHINA,3402,"Organic surface-active agents (not soap); surface-active, washing (including auxiliary washing) and cleaning preparations, containing soap or not, excluding those of heading no. 3401",55055.0,55055.0,0.01366773153205554,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,3406,"Candles, tapers and the like",85500.0,85500.0,0.021225884043061458,6.0,6.0,0.052629270646024295,1,1,0.020403999183840033,3,3,0.042967631051274706,0,0,0.0
CHINA,3504,"Peptones and their derivatives; other protein substances and their derivatives n.e.c. or included; hide powder, whether or not chromed",26480.0,26480.0,0.006573817654506052,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,3506,"Prepared glues and other prepared adhesives, n.e.c. or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding 1kg net weight",108915.0,108915.0,0.027038797199415657,14.0,14.0,0.12280163150739003,6,6,0.1224239951030402,7,7,0.10025780578630765,0,0,0.0
CHINA,3808,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products, plant growth regulators, disinfectants and the like, put up in forms or packings for retail sale or as preparations or arti",389548.0,389548.0,0.0967076102597252,28.0,28.0,0.24560326301478005,5,5,0.10201999591920016,14,14,0.2005156115726153,0,0,0.0
CHINA,3822,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference m",5650.98,5650.98,0.001402889429352742,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,3912,"Cellulose and its chemical derivatives, n.e.c. or included, in primary forms",33363.5,33363.5,0.00828268751193779,8.0,8.0,0.07017236086136573,4,4,0.08161599673536013,4,4,0.057290174735032943,0,0,0.0
CHINA,3917,"Tubes, pipes and hoses and fittings thereof (for example, joints, elbows, flanges), of plastics",149004.99,149004.99,0.036991375901491604,22.0,22.0,0.19297399236875576,8,8,0.16323199347072026,11,11,0.15754798052134059,0,0,0.0
CHINA,3923,"Plastic articles for the conveyance or packing of goods; stoppers, lids, caps and other closures of plastics",149754.85,149754.85,0.0371775331109481,20.0,20.0,0.17543090215341434,6,6,0.1224239951030402,10,10,0.14322543683758235,0,0,0.0
CHINA,3926,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter 39",168204.3,168204.3,0.04175771891630786,13.0,13.0,0.11403008639971932,5,5,0.10201999591920016,7,7,0.10025780578630765,0,0,0.0
CHINA,4011,"New pneumatic tyres, of rubber",771297.46,771297.46,0.1914791865341267,108.0,108.0,0.9473268716284373,35,35,0.7141399714344011,54,54,0.7734173589229447,0,0,0.0
CHINA,4013,"Inner tubes, of rubber",11188.0,11188.0,0.002777487610219551,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,4202,"Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered by leather, composition leather, plastic sheeting, textile materials, vulcanised fibre, paperboard",102850.0,102850.0,0.025533124840103755,14.0,14.0,0.12280163150739003,7,7,0.14282799428688023,7,7,0.10025780578630765,0,0,0.0
CHINA,4203,"Articles of apparel and clothing accessories, of leather or of composition leather",27288.0,27288.0,0.006774408465111826,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,4412,"Plywood, veneered panels and similar laminated wood",330520.0,330520.0,0.08205355782354004,10.0,10.0,0.08771545107670717,4,4,0.08161599673536013,5,5,0.07161271841879117,1,1,0.06489292667099286
CHINA,4420,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles of wood; statuettes and other ornaments of wood; wooden articles of furniture not falling in chapter 94",91315.99,91315.99,0.02266973818733754,5.0,5.0,0.043857725538353584,2,2,0.040807998367680065,4,4,0.057290174735032943,0,0,0.0
CHINA,4421,Wooden articles n.e.c. in heading no. 4414 to 4420,42679.0,42679.0,0.010595315848816608,4.0,4.0,0.035086180430682866,2,2,0.040807998367680065,2,2,0.028645087367516472,0,0,0.0
CHINA,4802,"Uncoated paper and paperboard, used for writing, printing or other graphics, non perforated punch-cards and punch tape paper, in rolls or rectangular sheets, of any size, other than paper of heading 4",18030.0,18030.0,0.004476054845571908,1.0,1.0,0.008771545107670716,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
CHINA,4818,"Toilet paper, width 36cm or less or cut to size/shape; handkerchiefs, tissues, towels, serviettes, bed sheets and similar household or hospital articles, apparel and clothing accessories of paper pulp",32159.010000000002,32159.010000000002,0.007983665698241566,6.0,6.0,0.052629270646024295,1,1,0.020403999183840033,3,3,0.042967631051274706,0,0,0.0
CHINA,4819,"Cartons, boxes, cases, bags and the like, of paper, paperboard, cellulose wadding or fibres; box files, letter trays and the like, of paper or paperboard, of a kind used in offices, shops or the like",53935.5,53935.5,0.01338980899186598,6.0,6.0,0.052629270646024295,3,3,0.0612119975515201,3,3,0.042967631051274706,0,0,0.0
CHINA,4820,"Registers, account books, diaries and similar; albums for samples or collections, of paper or paperboard",1392286.38,1392286.38,0.34564338311829007,98.0,98.0,0.8596114205517302,6,6,0.1224239951030402,49,49,0.7018046405041536,0,0,0.0
CHINA,5402,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex",26460.0,26460.0,0.006568852535431651,2.0,2.0,0.017543090215341433,1,1,0.020403999183840033,1,1,0.014322543683758236,0,0,0.0
