hs_code,hs_description,period_value,ytd_value,category
6107,"Underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys', knitted or crocheted",20030.0,20030.0,Other apparel
6108,"Slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls', knitted or crocheted",21053.0,21053.0,Other apparel
6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",26144.2,26144.2,Sweaters
6204,"Suits, ensembles, jackets, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear); women's or girls' (not knitted or crocheted)",147119.0,147119.0,Women's trousers
6211,"Track suits, swimwear and other garments (not knitted or crocheted)",38355.0,38355.0,Other apparel
6212,"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof; whether or not knitted or crocheted",13750.0,13750.0,Other apparel
6217,Sugars and sugar confectionery,20880.0,20880.0,Other apparel
