country_origin,hs_code,hs_description,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac
CHINA,7217,Wire of iron or non-alloy steel,4761493.0,4761493.0,3578790.0,33.04756635622655,1.1820689858461852,6.0,6.0,130.0,-95.38461538461539,0.052629270646024295,3,3,28.0,-89.28571428571429,0.0612119975515201,6,6,128.0,-95.3125,0.08593526210254941,1,1,0.0,100.0,0.06489292667099286
CHINA,9999,Commodities not specified according to kind,4611995.97,4611995.97,55689580.19,-91.71838617877002,1.1449554580852253,487.0,487.0,5640.5,-91.36601365127206,4.271742467435638,215,215,2092.0,-89.72275334608031,4.386859824525607,259,259,2927.0,-91.15134950461223,3.709538814093383,0,0,1.0,-100.0,0.0
INDIA,1006,Rice,4230000.12,4230000.12,21067970.490000002,-79.9221281328081,1.0501227140263867,170.0,170.0,940.0,-81.91489361702128,1.4911626683040218,20,20,93.0,-78.49462365591398,0.40807998367680065,162,162,810.0,-80.0,2.320252076768834,0,0,0.0,0.0,0.0
USA,2106,Food preparations not elsewhere specified or included,3877598.17,3877598.17,52310479.51,-92.58733965675323,0.9626368318363429,277.5,277.5,3986.75,-93.03944315545243,2.4341037673786237,60,60,1108.0,-94.58483754512635,1.224239951030402,216,216,2550.0,-91.52941176470588,3.093669435691779,1,1,14.0,-92.85714285714286,0.06489292667099286
INDIA,3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used as fluorescent brightening agents or as luminophores; whether or not chemically defined,3265423.0,3265423.0,7581402.1,-56.92850798666911,0.8106607011642792,135.0,135.0,321.0,-57.94392523364486,1.1841585895355466,12,12,39.0,-69.23076923076923,0.2448479902060804,135,135,321.0,-57.94392523364486,1.9335433973073617,0,0,0.0,0.0,0.0
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",3218902.94,3218902.94,12615321.04,-74.48417737611535,0.7991118193018668,121.0,121.0,496.0,-75.60483870967742,1.0613569580281565,22,22,77.0,-71.42857142857143,0.4488879820444807,121,121,474.0,-74.47257383966245,1.7330277857347465,0,0,0.0,0.0,0.0
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",3072409.84,3072409.84,12769939.33,-75.94029415016806,0.7627440350479651,410.0,410.0,1486.0,-72.40915208613728,3.596333494144994,106,106,452.0,-76.54867256637168,2.1628239134870433,182,182,706.0,-74.22096317280453,2.606702950443999,0,0,21.0,-100.0,0.0
INDIA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",2575554.23,2575554.23,13460891.51,-80.86639188729336,0.6393966717262741,100.0,100.0,486.0,-79.42386831275721,0.8771545107670716,15,15,81.0,-81.48148148148148,0.3060599877576005,93,93,484.0,-80.78512396694215,1.3319965625895158,0,0,0.0,0.0,0.0
PERU,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2480440.0,2480440.0,37587960.050000004,-93.40097202215686,0.6157839978452792,116.0,116.0,1741.0,-93.33716255025847,1.0174992324898031,21,21,300.0,-93.0,0.4284839828606407,116,116,1737.0,-93.32181922855499,1.6614150673159553,0,0,0.0,0.0,0.0
CHINA,6309,Textiles; worn clothing and other worn articles,2326837.32,2326837.32,17978331.9,-87.05754608969033,0.5776512180279284,195.0,195.0,1504.0,-87.03457446808511,1.7104512959957896,76,76,550.0,-86.18181818181819,1.5507039379718426,98,98,747.0,-86.88085676037483,1.4036092810083072,0,0,0.0,0.0,0.0
