country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score_weight_kg,is_anomaly_weight_kg,zscore_weight_kg,is_significant_weight_kg,hs_chapter
PAKISTAN,1006,Rice,6470495.2,6470495.2,104702181.5,-93.8200951429078,1.6063389569167923,248.0,248.0,643.0,-61.4307931570762,2.175343186702338,7,7,73.0,-90.4109589041096,0.1428279942868802,248,248,605.0,-59.00826446280992,3.5519908335720425,0,0,48.0,-100.0,0.0,-0.6361830557488736,-1,0.3139737634227679,False,10
NETHERLAND ANTILLES,2709,Petroleum oils and oils obtained from bituminous minerals; crude,6264943.0,6264943.0,28892263.0,-78.31619143159537,1.5553093994665448,0.0,0.0,0.0,0.0,0.0,2,2,8.0,-75.0,0.04080799836768,0,0,0.0,0.0,0.0,2,2,8.0,-75.0,0.1297858533419857,-0.6348723887676895,-1,0.1777655940950711,False,27
INDONESIA,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",5324995.67,5324995.67,82273743.78000003,-93.5277095397056,1.3219618786108112,211.0,211.0,1004.0,-78.98406374501992,1.8507960177185208,21,21,178.0,-88.20224719101124,0.4284839828606407,211,211,897.0,-76.47714604236343,3.022056717272988,0,0,76.0,-100.0,0.0,-0.6204595399476484,-1,0.31140503566932554,False,15
NICARAGUA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",5225167.04,5225167.04,6865058.8,-23.88751222349326,1.2971788268615985,8.0,8.0,32.0,-75.0,0.0701723608613657,7,7,15.0,-53.333333333333336,0.1428279942868802,8,8,32.0,-75.0,0.1145803494700658,6,6,6.0,0.0,0.3893575600259572,-0.6612801164043459,-1,0.3004127338863329,False,17
CHINA,7217,Wire of iron or non-alloy steel,4761493.0,4761493.0,3578790.0,33.04756635622655,1.1820689858461852,6.0,6.0,130.0,-95.3846153846154,0.0526292706460242,3,3,28.0,-89.28571428571429,0.0612119975515201,6,6,128.0,-95.3125,0.0859352621025494,1,1,0.0,100.0,0.0648929266709928,-0.6713775086236342,-1,0.8006108109818286,False,72
CHINA,9999,Commodities not specified according to kind,4611995.97,4611995.97,55689580.19,-91.71838617877002,1.1449554580852253,487.0,487.0,5640.5,-91.36601365127206,4.271742467435638,215,215,2092.0,-89.72275334608031,4.386859824525607,259,259,2927.0,-91.15134950461224,3.709538814093383,0,0,1.0,-100.0,0.0,-0.6000716693008121,-1,0.2955093859475685,False,99
INDIA,1006,Rice,4230000.12,4230000.12,21067970.49,-79.9221281328081,1.050122714026387,170.0,170.0,940.0,-81.91489361702128,1.4911626683040218,20,20,93.0,-78.49462365591398,0.4080799836768006,162,162,810.0,-80.0,2.320252076768834,0,0,0.0,0.0,0.0,-0.5943357786850939,-1,0.19187440837832423,False,10
USA,2106,Food preparations not elsewhere specified or included,3877598.17,3877598.17,52310479.51,-92.58733965675324,0.9626368318363429,277.5,277.5,3986.75,-93.03944315545245,2.434103767378624,60,60,1108.0,-94.58483754512636,1.224239951030402,216,216,2550.0,-91.52941176470588,3.093669435691779,1,1,14.0,-92.85714285714286,0.0648929266709928,-0.5946625402459437,-1,0.3031434995663644,False,21
INDIA,3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used as fluorescent brightening agents or as luminophores; whether or not chemically defined,3265423.0,3265423.0,7581402.1,-56.92850798666911,0.8106607011642792,135.0,135.0,321.0,-57.94392523364486,1.1841585895355466,12,12,39.0,-69.23076923076923,0.2448479902060804,135,135,321.0,-57.94392523364486,1.9335433973073617,0,0,0.0,0.0,0.0,-0.6029016824286866,-1,0.010133999609712582,False,32
BRAZIL,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",3218902.94,3218902.94,12615321.04,-74.48417737611535,0.7991118193018668,121.0,121.0,496.0,-75.60483870967742,1.0613569580281563,22,22,77.0,-71.42857142857143,0.4488879820444807,121,121,474.0,-74.47257383966245,1.7330277857347465,0,0,0.0,0.0,0.0,-0.5829043874011044,-1,0.14409977488889958,False,69
CHINA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",3072409.84,3072409.84,12769939.33,-75.94029415016806,0.7627440350479651,410.0,410.0,1486.0,-72.40915208613728,3.596333494144994,106,106,452.0,-76.54867256637168,2.1628239134870437,182,182,706.0,-74.22096317280453,2.606702950443999,0,0,21.0,-100.0,0.0,-0.5738983194902232,-1,0.15689235950591798,False,87
INDIA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",2575554.23,2575554.23,13460891.51,-80.86639188729336,0.6393966717262741,100.0,100.0,486.0,-79.42386831275721,0.8771545107670716,15,15,81.0,-81.48148148148148,0.3060599877576005,93,93,484.0,-80.78512396694215,1.3319965625895158,0,0,0.0,0.0,0.0,-0.555991341136532,-1,0.2001701537438666,False,69
PERU,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2480440.0,2480440.0,37587960.05,-93.40097202215686,0.6157839978452792,116.0,116.0,1741.0,-93.33716255025848,1.0174992324898031,21,21,300.0,-93.0,0.4284839828606407,116,116,1737.0,-93.321819228555,1.6614150673159551,0,0,0.0,0.0,0.0,-0.5727743296785629,-1,0.31029159446304055,False,40
CHINA,6309,Textiles; worn clothing and other worn articles,2326837.32,2326837.32,17978331.9,-87.05754608969033,0.5776512180279284,195.0,195.0,1504.0,-87.03457446808511,1.7104512959957896,76,76,550.0,-86.18181818181819,1.5507039379718426,98,98,747.0,-86.88085676037483,1.4036092810083072,0,0,0.0,0.0,0.0,-0.5546053159790353,-1,0.25456198922196394,False,63
NETHERLANDS,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2251000.76,2251000.76,15937232.069999998,-85.87583621727357,0.5588243404982831,118.0,118.0,868.5,-86.4133563615429,1.0350423227051444,10,10,99.0,-89.8989898989899,0.2040399918384003,113,113,796.0,-85.80402010050251,1.6184474362646806,0,0,0.0,0.0,0.0,-0.5451608299569648,-1,0.24418018207226463,False,40
PERU,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",2206710.01,2206710.01,12257850.16,-81.99757721626449,0.5478288981160583,83.0,83.0,458.0,-81.87772925764192,0.7280382439366695,13,13,78.0,-83.33333333333333,0.2652519893899204,83,83,458.0,-81.87772925764192,1.1887711257519336,0,0,0.0,0.0,0.0,-0.5388580845450173,-1,0.21010808200364312,False,69
USA,8702,Vehicles; public transport passenger type,2098745.52,2098745.52,8559486.719999999,-75.48047460490714,0.5210260706832132,2.0,2.0,110.0,-98.1818181818182,0.0175430902153414,204,204,804.0,-74.6268656716418,4.162415833503367,1,1,53.0,-98.1132075471698,0.0143225436837582,203,203,751.0,-72.9693741677763,13.17326411421155,-0.5308563429975236,-1,0.15285265572245188,False,87
USA,2815,Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash) peroxides of sodium or potassium,2000817.0,2000817.0,1823368.0,9.731935626818064,0.4967147325542234,0.0,0.0,0.0,0.0,0.0,2,2,2.0,0.0,0.04080799836768,0,0,0.0,0.0,0.0,2,2,2.0,0.0,0.1297858533419857,-0.6011568115355168,-1,0.595773407608631,False,28
BELGIUM,1107,Malt; whether or not roasted,1890382.68,1890382.68,8266332.37,-77.13154280052255,0.4692987551192018,150.0,150.0,670.0,-77.61194029850746,1.3157317661506074,8,8,38.0,-78.94736842105263,0.1632319934707202,75,75,318.0,-76.41509433962264,1.0741907762818677,0,0,0.0,0.0,0.0,-0.5320462030192973,-1,0.16735796874215725,False,11
CHINA,7326,"Iron or steel; articles, n.e.c. in chapter 73",1768748.95,1768748.95,11248647.849999998,-84.27589721372601,0.4391024574735288,102.0,102.0,526.0,-80.6083650190114,0.894697600982413,11,11,82.0,-86.58536585365853,0.2244439910222403,57,57,414.0,-86.23188405797102,0.8163849899742194,1,1,0.0,100.0,0.0648929266709928,-0.5299076418910957,-1,0.23012406002926047,False,73
VIETNAM,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",1536648.0,1536648.0,3330999.06,-53.86825476918627,0.3814820147719567,58.0,58.0,128.0,-54.6875,0.5087496162449016,6,6,11.0,-45.45454545454545,0.1224239951030402,58,58,128.0,-54.6875,0.8307075336579777,0,0,0.0,0.0,0.0,-0.52475214671682,-1,0.0370195825050959,False,69
BRAZIL,203,"Meat of swine; fresh, chilled or frozen",1509104.04,1509104.04,7819873.369999999,-80.70168187390993,0.3746440627129307,125.25,125.25,664.75,-81.15833019932306,1.0986360247357572,62,62,310.0,-80.0,1.265047949398082,62,62,311.0,-80.06430868167203,0.8879977083930106,0,0,0.0,0.0,0.0,-0.5050904760911673,-1,0.19872310854733796,False,20
INDIA,2203,Beer made from malt,1481629.12,1481629.12,10809261.84,-86.29296669901005,0.3678232502449496,108.0,108.0,825.0,-86.9090909090909,0.9473268716284372,13,13,154.0,-91.55844155844156,0.2652519893899204,54,54,398.0,-86.4321608040201,0.7734173589229447,0,0,0.0,0.0,0.0,-0.5012085955394672,-1,0.2478448448788744,False,22
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,1415240.25,1415240.25,7169825.95,-80.26116310396628,0.3513418180067054,116.0,116.0,586.0,-80.20477815699658,1.0174992324898031,43,43,203.0,-78.81773399014779,0.8773719649051214,58,58,301.0,-80.73089700996678,0.8307075336579777,0,0,0.0,0.0,0.0,-0.49767520688316935,-1,0.194852970011536,False,87
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",1411593.45,1411593.45,9816810.16,-85.620650425209,0.3504364781946792,100.0,100.0,741.5,-86.51382333108563,0.8771545107670716,50,50,347.0,-85.5907780979827,1.0201999591920017,50,50,348.0,-85.63218390804597,0.7161271841879118,0,0,0.0,0.0,0.0,-0.4957317720663843,-1,0.2419382699562734,False,16
CHINA,4820,"Registers, account books, diaries and similar; albums for samples or collections, of paper or paperboard",1392286.38,1392286.38,2406665.96,-42.14874838716712,0.34564338311829,98.0,98.0,174.0,-43.67816091954023,0.8596114205517302,6,6,16.0,-62.5,0.1224239951030402,49,49,87.0,-43.67816091954023,0.7018046405041536,0,0,0.0,0.0,0.0,-0.5153035188048432,-1,0.13998026514622663,False,48
PANAMA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",1178320.0,1178320.0,4011300.0,-70.62498441901629,0.2925249553873705,47.0,47.0,180.0,-73.88888888888889,0.4122626200605236,4,4,15.0,-73.33333333333333,0.0816159967353601,47,47,160.0,-70.625,0.6731595531366371,0,0,0.0,0.0,0.0,-0.47961278995770273,-1,0.11019517785600769,False,17
NETHERLANDS,203,"Meat of swine; fresh, chilled or frozen",1071870.1,1071870.1,4275573.88,-74.93038057384709,0.26609813393947,76.5,76.5,316.5,-75.82938388625593,0.6710232007368098,24,24,99.0,-75.75757575757575,0.4896959804121608,38,38,152.0,-75.0,0.5442566599828129,0,0,0.0,0.0,0.0,-0.4656975982765013,1,0.1480198534602634,False,20
CHINA,7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",1040742.0,1040742.0,1501756.26,-30.698341154242964,0.2583703977864779,0.0,0.0,58.0,-100.0,0.0,1,1,14.0,-92.85714285714286,0.02040399918384,0,0,55.0,-100.0,0.0,1,1,0.0,100.0,0.0648929266709928,-0.5050181330079652,-1,0.24057680110866467,False,72
SURINAME,1006,Rice,1040000.0,1040000.0,4214500.0,-75.32328864634002,0.2581861918688177,40.0,40.0,196.0,-79.59183673469387,0.3508618043068287,4,4,22.0,-81.81818181818181,0.0816159967353601,40,40,161.0,-75.15527950310559,0.5729017473503294,0,0,0.0,0.0,0.0,-0.46173342979701115,1,0.15147171244138483,False,10
CHINA,8455,Metal-rolling mills and rolls therefor,1013082.0,1013082.0,1318497.98,-23.1639323406472,0.2515036381065823,0.0,0.0,48.0,-100.0,0.0,2,2,11.0,-81.81818181818181,0.04080799836768,0,0,48.0,-100.0,0.0,2,2,0.0,200.0,0.1297858533419857,-0.5100227948254802,-1,0.30676968069405197,False,84
FRANCE,6309,Textiles; worn clothing and other worn articles,1006726.0,1006726.0,7717403.0,-86.95511948773441,0.2499257232647379,74.0,74.0,682.0,-89.14956011730206,0.649094337967633,37,37,282.0,-86.87943262411348,0.7549479698020812,37,37,282.0,-86.87943262411348,0.5299341162990547,0,0,0.0,0.0,0.0,-0.4577068353372013,1,0.25366212940583943,False,63
EGYPT,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",1003740.0,1003740.0,4092320.0,-75.4725925636314,0.2491844309869299,0.0,0.0,0.0,0.0,0.0,1,1,3.0,-66.66666666666667,0.02040399918384,0,0,0.0,0.0,0.0,1,1,3.0,-66.66666666666667,0.0648929266709928,-0.46040075020872606,1,0.15278340874873958,False,72
BRAZIL,207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",987480.44,987480.44,20100529.77,-95.08729147291524,0.245147898412062,74.25,74.25,1521.25,-95.1191454396056,0.6512872242445507,37,37,721.0,-94.86823855755894,0.7549479698020812,37,37,735.0,-94.96598639455782,0.5299341162990547,0,0,0.0,0.0,0.0,-0.4760609207784406,1,0.3251066042545353,False,20
INDONESIA,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",963166.84,963166.84,8473241.0,-88.63284025557635,0.2391119024556951,43.0,43.0,347.0,-87.60806916426513,0.3771764396298408,11,11,81.0,-86.41975308641975,0.2244439910222403,38,38,337.0,-88.72403560830861,0.5442566599828129,0,0,0.0,0.0,0.0,-0.45657807299241815,1,0.2684015962321247,False,15
USA,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm",933290.0,933290.0,26423101.860000003,-96.467901441152,0.2316947990473547,30.0,30.0,109.5,-72.6027397260274,0.2631463532301215,9,9,47.0,-80.85106382978724,0.1836359926545603,15,15,45.0,-66.66666666666667,0.2148381552563735,3,3,30.0,-90.0,0.1946787800129786,-0.4834997850370706,-1,0.33723583053397144,False,44
CANADA,9999,Commodities not specified according to kind,859507.0,859507.0,3949341.76,-78.23670241189762,0.2133777300140307,171.25,171.25,750.75,-77.18947718947719,1.5021270996886102,84,84,354.0,-76.27118644067797,1.7139359314425628,84,84,363.0,-76.85950413223141,1.2030936694356915,0,0,0.0,0.0,0.0,-0.44327587500740623,1,0.1770672503710461,False,99
CHINA,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",854467.0,854467.0,19789137.25,-95.6821412211894,0.2121265200072818,10.0,10.0,50.0,-80.0,0.0877154510767071,3,3,16.0,-81.25,0.0612119975515201,6,6,47.0,-87.23404255319149,0.0859352621025494,1,1,2.0,-50.0,0.0648929266709928,-0.4681179834007516,1,0.33033260389605434,False,72
USA,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",844730.02,844730.02,6037672.369999999,-86.00901194643657,0.209709256751029,24.0,24.0,193.5,-87.59689922480621,0.2105170825840971,427,427,2508.0,-82.97448165869218,8.712507651499694,23,23,97.0,-76.28865979381443,0.3294185047264394,404,404,2430.0,-83.37448559670781,26.216742375081115,-0.43982702606697566,1,0.2453501856149813,False,87
CHINA,6405,Footwear; other footwear n.e.c. in chapter 64,827851.0,827851.0,8874703.0,-90.67178924184844,0.2055189395430698,104.0,104.0,1038.0,-89.98073217726397,0.9122406911977544,52,52,504.0,-89.68253968253968,1.0610079575596818,52,52,513.0,-89.8635477582846,0.7447722715554282,0,0,0.0,0.0,0.0,-0.4472952388190338,1,0.28631460149479565,False,64
USA,3901,"Polymers of ethylene, in primary forms",825309.0,825309.0,11320812.73,-92.70980785846812,0.2048878729087135,65.0,65.0,906.0,-92.82560706401766,0.5701504319985966,14,14,180.0,-92.22222222222224,0.2856559885737604,33,33,457.0,-92.77899343544858,0.4726439415640218,0,0,0.0,0.0,0.0,-0.4528765623739359,1,0.30421943307750116,False,39
PERU,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",789035.0,789035.0,5321630.0,-85.17305787888297,0.1958826364434736,59.75,59.75,436.25,-86.30372492836676,0.5240998201833252,28,28,185.0,-84.86486486486487,0.5713119771475209,28,28,189.0,-85.18518518518519,0.4010312231452306,0,0,0.0,0.0,0.0,-0.44147696493331945,1,0.23800598538620682,False,70
CHINA,4011,"New pneumatic tyres, of rubber",771297.46,771297.46,8590413.64,-91.02141651935636,0.1914791865341267,108.0,108.0,1208.0,-91.05960264900662,0.9473268716284372,35,35,267.0,-86.89138576779027,0.7141399714344011,54,54,605.0,-91.07438016528926,0.7734173589229447,0,0,0.0,0.0,0.0,-0.44910906145552404,1,0.28938622089485894,False,40
CHINA,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",767951.58,767951.58,3263064.47,-76.46532616623415,0.1906485519036939,28.0,28.0,124.0,-77.41935483870968,0.24560326301478,5,5,24.0,-79.16666666666667,0.1020199959192001,28,28,120.0,-76.66666666666667,0.4010312231452306,0,0,0.0,0.0,0.0,-0.4414572247698197,1,0.16150498166085386,False,69
CHINA,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures",726828.05,726828.05,2918614.68,-75.09681373904417,0.1804393907432102,52.0,52.0,179.0,-70.94972067039106,0.4561203455988772,9,9,41.0,-78.04878048780488,0.1836359926545603,27,27,113.0,-76.10619469026548,0.3867086794614723,0,0,0.0,0.0,0.0,-0.43982952583782314,1,0.14948203725403703,False,73
TAIWAN,2106,Food preparations not elsewhere specified or included,722880.0,722880.0,9753563.52,-92.58855495719374,0.1794592638251259,40.0,40.0,528.0,-92.42424242424242,0.3508618043068287,1,1,16.0,-93.75,0.02040399918384,40,40,528.0,-92.42424242424242,0.5729017473503294,0,0,0.0,0.0,0.0,-0.4514163920145595,1,0.3031541764804671,False,21
CHINA,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,721892.09,721892.09,11039341.0,-93.46073203101524,0.1792140092858863,34.0,34.0,568.0,-94.01408450704226,0.2982325336608044,13,13,166.0,-92.1686746987952,0.2652519893899204,34,34,494.0,-93.1174089068826,0.48696648524778,0,0,0.0,0.0,0.0,-0.45742575059930446,1,0.31081661071424876,False,16
INDIA,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",669045.54,669045.54,5031848.379999999,-86.7037818019469,0.1660945386148238,70.0,70.0,551.0,-87.29582577132486,0.6140081575369501,16,16,152.0,-89.47368421052632,0.3264639869414405,35,35,276.0,-87.31884057971014,0.5012890289315383,0,0,0.0,0.0,0.0,-0.4340090518691507,1,0.25145402448583815,False,19
EGYPT,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",651585.0,651585.0,815760.05,-20.12540942646064,0.1617598556046573,25.0,25.0,44.0,-43.18181818181818,0.2192886276917679,2,2,4.0,-50.0,0.04080799836768,25,25,31.0,-19.35483870967742,0.3580635920939559,0,0,0.0,0.0,0.0,-0.49329181217238866,-1,0.3334643539394506,False,69
INDIA,3203,"Colouring matter of vegetable or animal origin (including dyeing extracts, not animal black); whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin",604800.0,604800.0,109728.0,451.1811023622048,0.1501452008098663,25.0,25.0,8.0,212.5,0.2192886276917679,2,2,8.0,-75.0,0.04080799836768,25,25,8.0,212.5,0.3580635920939559,0,0,0.0,0.0,0.0,-0.720865006476051,-1,4.474085861806284,True,32
CHINA,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals",556997.02,556997.02,4372928.45,-87.26260842433861,0.1382778264193074,52.0,52.0,407.0,-87.22358722358722,0.4561203455988772,12,12,144.0,-91.66666666666669,0.2448479902060804,26,26,203.0,-87.19211822660098,0.3723861357777141,0,0,0.0,0.0,0.0,-0.4131706668883716,1,0.2563635461537272,False,85
NETHERLANDS,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",556143.0,556143.0,2075143.4,-73.19977983208294,0.1380658108697114,38.0,38.0,152.5,-75.08196721311475,0.3333187140914872,13,13,50.0,-74.0,0.2652519893899204,19,19,71.0,-73.2394366197183,0.2721283299914064,0,0,0.0,0.0,0.0,-0.42469299005120426,1,0.13281581431876288,False,70
CHINA,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",526671.99,526671.99,6696187.65,-92.13474864313278,0.1307494571750692,90.0,90.0,1134.0,-92.06349206349206,0.7894390596903644,18,18,175.0,-89.71428571428571,0.3672719853091206,45,45,566.0,-92.04946996466433,0.6445144657691206,0,0,0.0,0.0,0.0,-0.4202324086320056,1,0.29916730140574055,False,96
BRAZIL,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,510325.06,510325.06,1856059.61,-72.50492078753871,0.1266912344775249,38.0,38.0,137.25,-72.31329690346084,0.3333187140914872,11,11,37.0,-70.27027027027027,0.2244439910222403,19,19,68.0,-72.05882352941177,0.2721283299914064,0,0,0.0,0.0,0.0,-0.41720676565917286,1,0.1267111918855686,False,40
