Port,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac
PORT-AU-PRINCE,295153620.44,2785097629.91,-89.40239590633173,70.35926046674031,8209.75,73529.0,-88.83467747419385,70.89900254760568,2419,25965,-90.683612555363,48.691626409017715,4984,42710,-88.3306017326153,70.3954802259887,212,4954,-95.72062979410578,13.65979381443299
CAP-HAITIEN,66277623.06,726990596.5,-90.88329018572114,15.799381139364804,2298.25,18249.0,-87.40615924160228,19.847575456625936,1006,8423,-88.05651193161582,20.24959742351047,1350,10213,-86.78155292274552,19.06779661016949,126,1248,-89.90384615384616,8.118556701030927
LAFITO,31757818.03,304117720.76,-89.55739312045475,7.570486810553426,1071.5,9694.0,-88.9467711986796,9.253421995768383,335,2792,-88.00143266475645,6.743156199677938,746,5833,-87.21069775415738,10.536723163841808,6,36,-83.33333333333334,0.3865979381443299
SAINT LOUIS DU SUD,23005172.0,165664182.4,-86.11337003163817,5.484015023827912,0.0,0.0,0.0,0.0,7,38,-81.57894736842105,0.14090177133655393,0,0,0.0,0.0,7,38,-81.57894736842105,0.4510309278350515
SAINT MARC,1851665.38,4437294.5,-58.27039697274995,0.44140338368354826,0.0,0.0,0.0,0.0,470,1063,-55.78551269990592,9.460547504025765,0,0,0.0,0.0,470,1063,-55.78551269990592,30.283505154639172
MIRAGOANE,1436339.0,103982820.86,-98.61867663512047,0.3423971207565829,0.0,2.0,-100.0,0.0,555,4414,-87.4263706388763,11.171497584541063,0,1,-100.0,0.0,555,4413,-87.42352141400409,35.76030927835052
LES CAYES,12820.0,30533.0,-58.01264205941112,0.003056055073418875,0.0,0.0,0.0,0.0,176,403,-56.32754342431762,3.542673107890499,0,0,0.0,0.0,176,403,-56.32754342431762,11.34020618556701
