hs_code,hs_description,direction,q4_value,ytd_value,yoy_change_pct,share_of_total,ytd_value_teu,yoy_change_pct_teu,share_of_total_teu,ytd_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,ytd_value_container,yoy_change_pct_container,share_of_total_container,ytd_value_vrac,yoy_change_pct_vrac,share_of_total_vrac
0202,Meat of bovine animals; frozen,import,15558.21,15558.21,,0.00038024004638462786,2.0,,0.0019709093775868184,1,,0.0023029800561927133,1,,0.0017018959120460194,0,,0.0
0203,"Meat of swine; fresh, chilled or frozen",import,17422509.45,17422509.45,-46.77495560761035,0.4258032126706489,1399.5,-53.84615384615385,1.3791438369663764,584,-50.0,1.3449403528165447,658,-50.0,1.1198475101262806,0,0.0,0.0
0207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",import,87176687.19999999,87176687.19999999,262.5575317887511,2.1305836329877406,6609.25,216.66666666666666,6.51311640190784,2225,200.0,5.124130625028787,3213,250.0,5.46819156540386,1,0.0,0.008013462617196892
0208,"Meat and edible meat offal, n.e.c. in chapter 2; fresh, chilled or frozen",import,223871.56,223871.56,-61.30516089413069,0.005471383427695024,16.0,-63.3587786259542,0.015767275020694548,6,-54.54545454545455,0.01381788033715628,8,-62.5,0.013615167296368155,0,-100.0,0.0
0302,"Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 0304",import,8305771.65,8305771.65,64.08066295699027,0.20299166790113563,631.75,62.5668449197861,0.6225609996452363,166,60.869565217391305,0.3822946893279904,298,60.869565217391305,0.5071649817897138,0,0.0,0.0
0305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",import,995080.0,995080.0,12.037674370236852,0.024319588523128013,72.0,12.820512820512821,0.07095273759312547,35,14.285714285714286,0.08060430196674497,36,13.793103448275861,0.061268252833656695,0,0.0,0.0
0306,"Crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, drie",import,758502.94,758502.94,4.57609030135553,0.018537684803616648,71.0,-2.4390243902439024,0.06996728290433206,27,-3.7037037037037037,0.06218046151720326,36,0.0,0.061268252833656695,0,0.0,0.0
0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,import,61040296.599999994,61040296.599999994,-76.82597908674833,1.4918146245946957,3121.5,-71.42857142857143,3.076096811068627,534,25.0,1.2297913500069089,2846,-76.19047619047619,4.843595765682971,0,0.0,0.0
0403,"Fish and crustaceans, molluscs and other aquatic invertebrates",import,52826.0,52826.0,,0.0012910585915934,5.0,,0.0049272734439670465,3,,0.00690894016857814,3,,0.005105687736138058,0,,0.0
0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",import,51923.04,51923.04,-42.6678049989157,0.001268990400440082,4.0,-50.0,0.003941818755173637,2,-60.0,0.004605960112385427,2,-60.0,0.0034037918240920387,0,0.0,0.0
