Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg
SAN ANTONIO,1403544.85,660001.34,112.65787884612479
TUTICORIN,1400330.88,1728636.76,-18.992184338368467
VITORIA,1392777.0,829120.0,67.98255982246238
ENNORE,1362729.23,538063.09,153.26569603575672
NAVEGANTES,1250628.35,7657867.65,-83.66871292167083
LAEM CHABANG,1209165.28,1047574.88,15.425188507765672
PISCO,1159400.0,1736182.0,-33.22128670842112
SHANTOU,1159317.23,727866.54,59.27607140726649
VIGO,1148277.06,187720.44,511.695274100146
GAOMING,1132206.12,181450.0,523.9769192615047
CHONGQING,1128124.89,386691.3,191.73785135584893
AGADIR,1065458.0,483559.99,120.3362606571317
SAN JUAN - PR,1032212.58,96010.2,975.1072073592181
GEORGETOWN,989300.0,6225628.0,-84.10923363875902
BREMERHAVEN,989258.59,868823.37,13.86187620620748
POINT LISAS,909984.49,16813300.18,-94.58771044198416
NOUADHIBOU,888812.0,574425.0,54.73073073073073
BARCELONA,872473.44,3169396.19,-72.47193510382809
CALDERA,857653.64,448015.0,91.43413501780074
DUNKERQUE,857076.0,944710.0,-9.276285844333183
GDYNIA,856526.66,864301.7,-0.8995747665427387
CASABLANCA,847243.4,1545448.0,-45.17813604857621
OAKLAND - CA,842473.37,665461.4299999999,26.599879725561266
SEMARANG,841024.7,335288.0,150.83650473622677
HAMBURG,829486.94,6273115.34,-86.77711320385193
TEKIRDAG,782884.6,79135.26000000001,889.2993338241384
JIANGMEN,757394.36,527647.7,43.541677524605916
RIO DE JANEIRO,732375.0,294140.0,148.98857686815802
ABIDJAN,727364.01,461671.02,57.55028548250657
CHENNAI,703852.73,1328242.11,-47.008702351712074
DUBLIN,676365.0,398652.0,69.66301435838777
JACKSONVILLE - FL,665264.74,309664.5,114.8340348990601
FREDRIKSTAD,642724.0,379912.0,69.17707258523026
QINZHOU,609398.74,1091207.71,-44.153735863908075
HELSINGBORG,606953.0,564193.01,7.5789648652329085
PIPAVAV,594246.51,1095401.64,-45.75081063417067
ZHONGSHAN,593003.34,289705.98,104.69143923090576
BASSENS,572134.55,321723.68,77.83414326231754
KATTUPALLI,557960.23,1043337.27,-46.52158548884198
CAI MEP,548835.41,731761.6,-24.99805811072895
SAN VICENTE - CL,525670.0,190542.0,175.88143296491063
PORT OF COLOMBO,521664.0,2450.0,21192.408163265307
BALTIMORE - MD,509697.09,168036.64,203.32497126817103
PAITA,503910.0,429970.0,17.196548596413702
PHILADELPHIA - PA,502943.04,280165.82,79.51620222623872
NANJING,492177.51,861599.79,-42.876319642557014
GUAYAQUIL,482618.82,238113.04,102.68475006660702
KEELUNG,479335.0,65453.42,632.3299531178051
WUHAN,458009.99,317922.21,44.0635399458251
TANJUNG PELEPAS,439955.12,816637.82,-46.126041529646514
CHORNOMORSK,422897.95,666396.0,-36.539542554277034
LAS PALMAS,417929.61,0.0,0.0
DURBAN,412799.11,246406.8,67.52748300777414
LIVORNO,402759.0,666688.23,-39.58810402277538
LONDON,398197.76,493786.6,-19.358330096442465
ALGECIRAS,382729.67,448334.75,-14.63305710744037
COCHIN,360544.73,210176.48,71.54380452084837
AD DAMMAM,358344.0,39280.0,812.2810590631364
AARHUS,353991.4,234615.04,50.88180195097467
SINGAPORE,342857.32,19006.0,1703.9425444596443
GENOA,322842.31,392578.47,-17.763623155391066
LOS ANGELES - CA,310812.51,977376.84,-68.19931706177937
LA SPEZIA,308879.87,622908.28,-50.41326629981544
MONTREAL,306313.48,174718950.4,-99.82468216567308
ODESSA,305431.5,0.0,0.0
OSAKA,291172.04,0.0,0.0
NAGOYA,278440.0,125827.99,121.28621779621528
TANGIER,274986.48,159396.2,72.51758824865333
YOKOHAMA,269853.09,188587.18,43.09195884895253
FOS-SUR-MER,254108.81,223064.7,13.91708773284163
PROGRESO,249199.99,25170.0,890.0675009932459
LIANYUNGANG,228866.8,899466.6,-74.55527531539249
LEIXOES,218400.0,0.0,0.0
CHITTAGONG,212850.0,106425.0,100.0
TORONTO,211350.1,172653.0,22.413221895941575
CORONEL,207403.0,26147.0,693.2191073545722
HUTCHISON PORTS SOHAR,205590.69,218601.28,-5.951744655840989
PENANG,203343.8,125723.82,61.73848360636829
NAPOLI,197818.0,379471.5,-47.87012990435382
MANILA,196328.5,0.0,0.0
HUANGPU,195985.7,217635.0,-9.947526822432048
IZMIT,194420.03,0.0,0.0
DERINCE,192149.02000000002,0.0,0.0
VALPARAISO - CL,188325.39,823181.62,-77.12225523208353
GEMLIK,176744.64,202370.96,-12.663042167710218
VUNG TAU,166441.22,225320.31,-26.1312839486152
VENICE,158590.0,0.0,0.0
JINGZHOU,153550.8,82085.1,87.06293834081944
MARSEILLE,153013.3,89475.17,71.01202490031591
BARRANQUILLA,144996.38,249602.85,-41.90916489935912
AL AQABAH,137240.0,82940.0,65.46901374487581
PECEM,130274.94,55434.01,135.00904949867416
PHILIPSBURG,128230.0,101330.0,26.546925885719926
NOT AVAILABLE,127218.05,238980.96,-46.76644951129161
MONTEVIDEO,126708.39,254755.07,-50.26266209343744
BEIRUT,116000.0,64433.0,80.0319711948846
AMBARLI,114107.01,570778.7,-80.00853745943918
DA-NANG,113303.61,51350.96,120.64555365664052
RIGA,110847.04,114997.0,-3.6087550110002926
ABU DHABI,105100.0,0.0,0.0
SANSHUI,104495.39,10294.5,915.060372043324
YICHANG,104190.0,82080.0,26.937134502923975
LA GUAIRA,102013.0,87133.0,17.077341535353998
GAOLAN,101579.0,0.0,0.0
SEATTLE - WA,100992.13,285608.41000000003,-64.63965119234409
YANGZHOU,98330.6,1108086.0,-91.12608588142076
GOTHENBURG,96232.91,10270.0,837.0293086660176
BEIJIAO,90371.83,108059.51,-16.36846215571401
AELESUND,90080.0,193930.0,-53.55025009023875
