period,haiti_imports_kg,haiti_imports_teu,yoy_change_pct,yoy_change_pct_teu,haiti_imports_shipment,haiti_imports_container,haiti_imports_vrac,yoy_change_pct_shipment,yoy_change_pct_container,yoy_change_pct_vrac
Full year 2024,3923611902.54,78347.75,0.0,0.0,32362,45730,11460,,,
Full year 2025,4091681070.4,101476.0,4.28353190974873,29.519992597107127,43422,58758,12479,34.17588529757123,28.488956921058385,8.891797556719023
