country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score,is_anomaly
USA,8702,Vehicles; public transport passenger type,8559486.719999999,8559486.719999999,147541021.06,-94.19857158469904,0.2091924217144135,110.0,110.0,38.0,189.47368421052636,0.108400015767275,804,804,470.0,71.06382978723404,1.851595965178941,53,53,19.0,178.94736842105263,0.090200483338439,751,751,451.0,66.51884700665188,6.018110425514865,-0.5389357251149978,-1
MALAYSIA,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",10009193.72,10009193.72,14659678.2,-31.72296428716969,0.2446230179670749,128.0,128.0,17.0,652.9411764705883,0.1261382001655563,34,34,22.0,54.54545454545455,0.0783013219105522,128,128,17.0,652.9411764705883,0.2178426767418904,9,9,17.0,-47.05882352941177,0.072121163554772,-0.532830844150679,-1
TAIWAN,2106,Food preparations not elsewhere specified or included,9753563.52,9753563.52,9716848.5,0.3778490526017726,0.2383754586973832,528.0,528.0,609.0,-13.300492610837438,0.52032007568292,16,16,17.0,-5.882352941176471,0.0368476808990834,528,528,484.0,9.090909090909092,0.8986010415602982,0,0,0.0,0.0,0.0,-0.530406623150822,-1
BRAZIL,1601,"Sausages and similar products of meat, meat offal or blood; food preparations based on these products",9816810.16,9816810.16,7572649.119999999,29.635085482476452,0.2399211959851092,741.5,741.5,669.75,10.712952594251586,0.730714651740313,347,347,270.0,28.51851851851852,0.7991340794988715,348,348,270.0,28.88888888888889,0.5922597773920147,0,0,0.0,0.0,0.0,-0.5284632956356444,-1
CHINA,8516,"Electric water, space, soil heaters; electro-thermic hair-dressing apparatus; hand dryers, irons; electro-thermic appliances for domestic purposes; electro heating resistors, not of heading no. 8545",121790.89,121790.88999999998,2767.76,4300.341431337978,0.0029765489515069,34.0,34.0,1.0,3300.0,0.0335054594189759,6,6,1.0,500.0,0.0138178803371562,18,18,1.0,1700.0,0.0306341264168283,0,0,0.0,0.0,0.0,-0.5283720764784874,-1
USA,2203,Beer made from malt,71359.66,71359.66,1662.2,4193.085067982192,0.0017440181375872,8.0,8.0,0.0,800.0,0.0078836375103472,3,3,3.0,0.0,0.0069089401685781,4,4,0.0,400.0,0.006807583648184,0,0,3.0,-100.0,0.0,-0.5264635797892888,-1
CHINA,4011,"New pneumatic tyres, of rubber",8590413.64,8590413.64,4516736.46,90.19072102338244,0.2099482704589242,1208.0,1208.0,620.75,94.6033024567056,1.1904292640624383,267,267,161.0,65.83850931677019,0.6148956750034544,605,605,309.0,95.79288025889969,1.0296470267878417,0,0,0.0,0.0,0.0,-0.5248657518787626,-1
CHINA,6405,Footwear; other footwear n.e.c. in chapter 64,8874703.0,8874703.0,5113570.59,73.55197985054119,0.2168962547985787,1038.0,1038.0,608.25,70.65351418002466,1.0229019669675588,504,504,286.0,76.22377622377623,1.1607019483211276,513,513,303.0,69.3069306930693,0.8730726028796079,0,0,0.0,0.0,0.0,-0.5242040286746162,-1
CHINA,4412,"Plywood, veneered panels and similar laminated wood",7976760.05,7976760.05,2174582.01,266.81808335202777,0.1949506795068999,574.0,574.0,160.75,257.07620528771383,0.5656509913674169,74,74,22.0,236.3636363636364,0.1704205241582607,287,287,77.0,272.72727272727275,0.4884441267572075,0,0,0.0,0.0,0.0,-0.5236720437065318,-1
USA,2402,"Cigars, cheroots, cigarillos and cigarettes; of tobacco or of tobacco substitutes",477716.95,477716.95,15827.6,2918.2526093659176,0.0116753222399442,59.0,59.0,2.0,2850.0,0.0581418266388111,17,17,1.0,1600.0,0.0391506609552761,32,32,1.0,3100.0,0.0544606691854726,0,0,0.0,0.0,0.0,-0.5189997068826177,-1
INDONESIA,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",8473241.0,8473241.0,7003679.77,20.982701640569164,0.2070845907638559,347.0,347.0,333.75,3.970037453183521,0.341952777011313,81,81,58.0,39.6551724137931,0.1865413845516098,337,337,276.0,22.10144927536232,0.5735389223595085,0,0,0.0,0.0,0.0,-0.5188744165134719,-1
BELGIUM,1107,Malt; whether or not roasted,8266332.37,8266332.37,5075748.08,62.8593901768269,0.2020277785040535,670.0,670.0,401.75,66.77037958929682,0.6602546414915842,38,38,22.0,72.72727272727273,0.0875132421353231,318,318,199.0,59.79899497487437,0.5412029000306341,0,0,0.0,0.0,0.0,-0.5153589466158693,-1
NICARAGUA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",6865058.8,6865058.800000001,43594611.0,-84.25250588885861,0.1677808871679452,32.0,32.0,135.0,-76.29629629629629,0.031534550041389,15,15,51.0,-70.58823529411765,0.0345447008428907,32,32,100.0,-68.0,0.0544606691854726,6,6,42.0,-85.71428571428571,0.0480807757031813,-0.5150110406396307,-1
DOMINICAN REPUBLIC,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,8306673.6,8306673.6,5541448.8,49.90075519600578,0.2030137114080581,312.0,312.0,319.0,-2.19435736677116,0.3074618629035437,94,94,62.0,51.61290322580645,0.216480125282115,312,312,221.0,41.1764705882353,0.530991524558358,0,0,0.0,0.0,0.0,-0.5140017161428464,-1
BRAZIL,203,"Meat of swine; fresh, chilled or frozen",7819873.369999999,7819873.370000001,10008527.72,-21.867895171298997,0.1911163953263721,664.75,664.75,798.0,-16.69799498746867,0.6550810043754188,310,310,383.0,-19.06005221932115,0.7139238174197411,311,311,383.0,-18.798955613577025,0.529289628646312,0,0,0.0,0.0,0.0,-0.5124369027585012,-1
INDIA,3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used as fluorescent brightening agents or as luminophores; whether or not chemically defined,7581402.1,7581402.1,13249047.91,-42.77775919069795,0.1852881974317428,321.0,321.0,586.0,-45.22184300341297,0.3163309551026844,39,39,61.0,-36.0655737704918,0.0898162221915158,321,321,562.0,-42.88256227758007,0.5463085877667722,0,0,0.0,0.0,0.0,-0.5100505945238327,-1
FRANCE,6309,Textiles; worn clothing and other worn articles,7717403.0,7717403.0,9012961.0,-14.374388172765864,0.1886120366474592,682.0,682.0,730.0,-6.575342465753424,0.6720800977571051,282,282,327.0,-13.761467889908255,0.6494403758463452,282,282,327.0,-13.761467889908255,0.4799346471969774,0,0,0.0,0.0,0.0,-0.5079746137057751,-1
US VIRGIN ISLANDS,2709,Petroleum oils and oils obtained from bituminous minerals; crude,6035530.0,6035530.0,53079826.0,-88.62933348726501,0.1475073422428295,0.0,0.0,0.0,0.0,0.0,2,2,13.0,-84.61538461538461,0.0046059601123854,0,0,0.0,0.0,0.0,2,2,13.0,-84.61538461538461,0.0160269252343937,-0.506211273601675,-1
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,7169825.95,7169825.95,4322664.11,65.86590508879488,0.1752293452651499,586.0,586.0,351.0,66.95156695156695,0.5774764476329378,203,203,118.0,72.03389830508475,0.4675049514071208,301,301,182.0,65.38461538461539,0.5122706695258518,0,0,0.0,0.0,0.0,-0.5026459336511203,-1
TURKEY,7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",1413313.0,1413313.0,80310.0,1659.8219399825675,0.0345411329886919,15.0,15.0,3.0,400.0,0.0147818203319011,3,3,1.0,200.0,0.0069089401685781,15,15,3.0,400.0,0.0255284386806902,1,1,0.0,100.0,0.0080134626171968,-0.49789831784651417,-1
USA,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",6037672.369999999,6037672.369999999,2758173.21,118.9011316660566,0.1475597014067804,193.5,193.5,7.0,2664.285714285714,0.1906854822815246,2508,2508,1072.0,133.955223880597,5.775873980931325,97,97,4.0,2325.0,0.1650839034684638,2430,2430,1068.0,127.52808988764043,19.472714159788445,-0.496575646921161,-1
CHINA,7225,"Alloy steel flat-rolled products, of a width 600mm or more",5358241.09,5358241.09,1501468.97,256.8665884583682,0.1309545147289835,197.0,197.0,61.0,222.9508196721312,0.1941345736923016,39,39,25.0,56.0,0.0898162221915158,192,192,55.0,249.0909090909091,0.3267640151128357,0,0,0.0,0.0,0.0,-0.496524932828425,-1
BRAZIL,4412,"Plywood, veneered panels and similar laminated wood",5338586.24,5338586.24,1904073.82,180.37706227167183,0.1304741534871901,401.75,401.75,155.0,159.19354838709677,0.3959064212227521,48,48,24.0,100.0,0.1105430426972502,196,196,70.0,180.0,0.3335715987610197,0,0,0.0,0.0,0.0,-0.4929311825130171,-1
CHINA,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",6696187.65,6696187.65,4883315.0200000005,37.12381082472128,0.1636537045480278,1134.0,1134.0,859.5,31.93717277486911,1.117505617091726,175,175,137.0,27.73722627737226,0.4030215098337248,566,566,428.0,32.242990654205606,0.9632730862180467,0,0,0.0,0.0,0.0,-0.4926858326502744,-1
USA,810,"Fruit, fresh; n.e.c. in chapter 08",13341.9,13341.9,403.0,3210.6451612903224,0.0003260738012187,2.0,2.0,0.0,200.0,0.0019709093775868,3,3,1.0,200.0,0.0069089401685781,1,1,0.0,100.0,0.001701895912046,2,2,1.0,100.0,0.0160269252343937,-0.4877342039117456,-1
USA,8472,Office machines; not elsewhere classified,3331.0,3331.0,97.0,3334.020618556701,8.140908205424631e-05,0.0,0.0,0.0,0.0,0.0,2,2,1.0,100.0,0.0046059601123854,0,0,0.0,0.0,0.0,2,2,1.0,100.0,0.0160269252343937,-0.4877011504492536,-1
PANAMA,207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",539248.0,539248.0,24250.07,2123.696673865272,0.0131791307954332,38.0,38.0,2.25,1588.888888888889,0.0374472781741495,17,17,1.0,1600.0,0.0391506609552761,19,19,1.0,1800.0,0.0323360223288743,0,0,0.0,0.0,0.0,-0.48570235105434273,-1
CHINA,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",6212972.35,6212972.35,8240994.199999999,-24.60894645454307,0.1518440035550625,618.0,618.0,841.75,-26.58152658152658,0.609010997674327,33,33,51.0,-35.294117647058826,0.0759983418543595,309,309,420.0,-26.428571428571427,0.5258858368222199,0,0,0.0,0.0,0.0,-0.4848291419703791,-1
JAMAICA,4011,"New pneumatic tyres, of rubber",154145.0,154145.0,5400.0,2754.537037037037,0.0037672779805619,0.0,0.0,0.0,0.0,0.0,4,4,1.0,300.0,0.0092119202247708,0,0,0.0,0.0,0.0,4,4,1.0,300.0,0.0320538504687875,-0.4834179046787666,-1
CHINA,7317,"Nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, of iron or steel, with heads of other material or not, but excluding articles with heads of copper",5117308.26,5117308.26,2432308.8000000003,110.38892183426708,0.1250661567202679,187.0,187.0,97.0,92.78350515463916,0.1842800268043675,53,53,31.0,70.96774193548387,0.1220579429782138,184,184,87.0,111.4942528735632,0.3131488478164675,0,0,0.0,0.0,0.0,-0.4823602798298259,-1
CHINA,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules, containers of glass of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures of glass",4255333.45,4255333.45,1127978.51,277.2530604328624,0.1039996367454905,360.0,360.0,104.0,246.15384615384616,0.3547636879656273,47,47,23.0,104.34782608695652,0.1082400626410575,183,183,53.0,245.2830188679245,0.3114469519044215,0,0,0.0,0.0,0.0,-0.4775096390755981,-1
DOMINICAN REPUBLIC,9999,Commodities not specified according to kind,3656544.11,3656544.11,809855.51,351.5057395855712,0.0893653255736899,406.75,406.75,143.0,184.44055944055944,0.4008336946667192,183,183,53.0,245.2830188679245,0.4214453502832666,228,228,78.0,192.30769230769232,0.3880322679464923,2,2,0.0,200.0,0.0160269252343937,-0.47593612871780216,-1
DOMINICAN REPUBLIC,5603,"Nonwovens; whether or not impregnated, coated, covered or laminated",5459176.21,5459176.21,5754967.080000001,-5.139749122596214,0.1334213521550523,833.25,833.25,837.0,-0.4480286738351254,0.8211301194371082,355,355,363.0,-2.203856749311295,0.8175579199484132,359,359,378.0,-5.026455026455026,0.6109806324245209,0,0,0.0,0.0,0.0,-0.4744147746431298,-1
PANAMA,9999,Commodities not specified according to kind,4868052.899999999,4868052.899999999,2557024.04,90.37962975115396,0.1189743974723841,601.5,601.5,341.25,76.26373626373626,0.5927509953092357,250,250,170.0,47.05882352941177,0.5757450140481783,294,294,170.0,72.94117647058823,0.5003573981415297,10,10,8.0,25.0,0.0801346261719689,-0.47236583414909217,-1
USA,8609,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,234341.13,234341.13,10949.8,2040.140733164076,0.0057272579648318,105.0,105.0,10.0,950.0,0.1034727423233079,5,5,3.0,66.66666666666667,0.0115149002809635,55,55,5.0,1000.0,0.093604275162531,0,0,0.0,0.0,0.0,-0.4685984116275182,-1
USA,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",2906606.610000001,2906606.6100000003,540329.15,437.9325934941694,0.0710369786889536,71.0,71.0,38.0,86.84210526315789,0.069967282904332,17,17,8.0,112.5,0.0391506609552761,43,43,33.0,30.303030303030305,0.0731815242179788,2,2,0.0,200.0,0.0160269252343937,-0.4684965738520278,-1
PERU,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",5321630.0,5321630.0,3750767.0,41.88111391616701,0.1300597458217768,436.25,436.25,286.0,52.53496503496503,0.4299046079861248,185,185,137.0,35.03649635036496,0.4260513103956519,189,189,137.0,37.956204379562045,0.3216583273766976,0,0,0.0,0.0,0.0,-0.4683111473094008,-1
INDIA,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",5031848.379999999,5031848.38,3660506.520000001,37.463172173232415,0.1229775315676812,551.0,551.0,397.0,38.79093198992443,0.5429855335251685,152,152,123.0,23.577235772357724,0.3500529685412924,276,276,190.0,45.26315789473684,0.4697232717247013,0,0,0.0,0.0,0.0,-0.46348107150913886,-1
CHINA,7308,"Structures of iron or steel and parts thereof; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures",2918614.68,2918614.68,633472.23,360.73285327756207,0.0713304539083902,179.0,179.0,55.0,225.45454545454547,0.1763963892940202,41,41,15.0,173.33333333333334,0.0944221823039012,113,113,28.0,303.57142857142856,0.1923142380612001,0,0,0.0,0.0,0.0,-0.4624016004006587,-1
CANADA,4911,"Printed matter, n.e.c., including printed pictures and photographs",9059.0,9059.0,324.0,2695.9876543209875,0.0002214004426086,4.0,4.0,0.0,400.0,0.0039418187551736,4,4,1.0,300.0,0.0092119202247708,4,4,0.0,400.0,0.006807583648184,0,0,1.0,-100.0,0.0,-0.46239576267322824,-1
NETHERLANDS,203,"Meat of swine; fresh, chilled or frozen",4275573.88,4275573.88,1705797.87,150.64950280422147,0.1044943094643987,316.5,316.5,134.75,134.87940630797775,0.311896409003114,99,99,50.0,98.0,0.2279950255630786,152,152,61.0,149.18032786885246,0.2586881786309949,0,0,0.0,0.0,0.0,-0.4619930078997694,-1
PANAMA,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",127010.0,127010.0,5067.94,2406.146481607912,0.0031041031257009,14.0,14.0,2.0,600.0,0.0137963656431077,14,14,1.0,1300.0,0.0322417207866979,7,7,1.0,600.0,0.0119132713843221,7,7,0.0,700.0,0.0560942383203782,-0.4615445330251978,-1
BELGIUM,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal",106041.34,106041.34,4522.87,2244.5586541289053,0.0025916325875719,14.5,14.5,2.25,544.4444444444445,0.0142890929875044,7,7,1.0,600.0,0.0161208603933489,7,7,1.0,600.0,0.0119132713843221,0,0,0.0,0.0,0.0,-0.45865837079409527,-1
INDIA,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liqueurs and other spirituous beverages",2593780.2500000005,2593780.2500000005,558533.47,364.3911939601401,0.0633915548492745,205.0,205.0,41.0,400.0,0.2020182112026489,70,70,15.0,366.6666666666667,0.1612086039334899,98,98,21.0,366.6666666666667,0.1667857993805098,0,0,0.0,0.0,0.0,-0.45430650530166783,-1
CHINA,7217,Wire of iron or non-alloy steel,3578790.0,3578790.0,1200010.01,198.2300122646477,0.0874650281491792,130.0,130.0,50.0,160.0,0.1281091095431432,28,28,11.0,154.54545454545453,0.0644834415733959,128,128,44.0,190.9090909090909,0.2178426767418904,0,0,0.0,0.0,0.0,-0.4540132839738457,-1
CHINA,3808,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products, plant growth regulators, disinfectants and the like, put up in forms or packings for retail sale or as preparations or arti",4550161.44,4550161.44,4123310.14,10.352151196659666,0.1112051834371142,345.0,345.0,315.75,9.263657957244655,0.3399818676337262,81,81,53.0,52.83018867924528,0.1865413845516098,174,174,158.0,10.126582278481012,0.2961298886960073,0,0,0.0,0.0,0.0,-0.4531355111244153,-1
INDONESIA,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",4592385.630000001,4592385.630000001,3579528.26,28.2958338761656,0.1122371355681211,327.0,327.0,256.75,27.36124634858812,0.3222436832354448,60,60,57.0,5.2631578947368425,0.1381788033715628,174,174,136.0,27.94117647058824,0.2961298886960073,0,0,0.0,0.0,0.0,-0.45103457347238113,-1
CHINA,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals",4372928.45,4372928.45,2547504.27,71.65539235779183,0.1068736388482131,407.0,407.0,267.5,52.149532710280376,0.4010800583389176,144,144,104.0,38.46153846153846,0.3316291280917507,203,203,131.0,54.96183206106871,0.3454848701453419,0,0,1.0,-100.0,0.0,-0.450573447320926,-1
USA,6309,Textiles; worn clothing and other worn articles,4503585.49,4503585.49,4445722.970000001,1.301532290483668,0.1100668750206313,286.25,286.25,390.0,-26.602564102564106,0.2820864046671134,158,158,203.0,-22.167487684729064,0.3638708488784487,139,139,190.0,-26.84210526315789,0.2365635317743966,26,26,13.0,100.0,0.2083500280471191,-0.4490780089699547,-1
CHINA,7228,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",1501756.26,1501756.26,164445.01,813.2270173476227,0.0367026714487595,58.0,58.0,9.0,544.4444444444445,0.0571563719500177,14,14,3.0,366.6666666666667,0.0322417207866979,55,55,6.0,816.6666666666666,0.093604275162531,0,0,0.0,0.0,0.0,-0.44878831296766775,-1
