country,hs_code,hs_desc,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac,anomaly_score,is_anomaly
SPAIN,9406,Buildings; prefabricated,785563.02,785563.02,9235.0,8406.367298321602,0.0191990286262268,80.0,80.0,2.0,3900.0,0.0788363751034727,11,11,1.0,1000.0,0.0253327806181198,40,40,1.0,3900.0,0.0680758364818407,0,0,0.0,0.0,0.0,-0.6205700021557761,-1
TURKEY,7214,"Iron or non-alloy steel; bars and rods, not further worked than forged, hot-rolled, hot drawn or hot-extruded, but including those twisted after rolling",11029990.03,11029990.03,618880.03,1682.2501123521467,0.2695711087990959,30.0,30.0,34.0,-11.764705882352942,0.0295636406638022,10,10,3.0,233.33333333333331,0.0230298005619271,23,23,23.0,0.0,0.0391436059770584,6,6,0.0,600.0,0.0480807757031813,-0.6195170235435847,-1
BRAZIL,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",19896916.6,19896916.6,33715493.72,-40.98583646664154,0.4862773089510344,476.0,476.0,1621.0,-70.63541024059222,0.4690764318656628,45,45,141.0,-68.08510638297872,0.1036341025286721,366,366,1161.0,-68.47545219638243,0.622893903808843,11,11,3.0,266.6666666666667,0.0881480887891658,-0.61651664680575,-1
INDIA,1006,Rice,21067970.49,21067970.49,14316164.8,47.16211209024362,0.514897669869964,940.0,940.0,611.0,53.84615384615385,0.9263274074658048,93,93,71.0,30.985915492957748,0.2141771452259223,810,810,549.0,47.540983606557376,1.3785356887572755,0,0,0.0,0.0,0.0,-0.6145377710408412,-1
BRAZIL,207,"Meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",20100529.77,20100529.77,12019511.2,67.23250584433084,0.4912535807204294,1521.25,1521.25,958.0,58.79436325678497,1.499122945326974,721,721,420.0,71.66666666666667,1.6604486205149462,735,735,436.0,68.57798165137615,1.2508934953538242,0,0,0.0,0.0,0.0,-0.6137006651624473,-1
CHINA,6309,Textiles; worn clothing and other worn articles,17978331.9,17978331.9,12142658.4,48.05927423602724,0.4393874202478456,1504.0,1504.0,985.5,52.6128868594622,1.4821238519452875,550,550,334.0,64.67065868263474,1.2666390309059925,747,747,493.0,51.521298174442194,1.2713162462983765,0,0,0.0,0.0,0.0,-0.5992063734179178,-1
SOUTH KOREA,8447,"Knitting machines, stitch-bonding machines and machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines for tufting",80254.0,80254.0,830.0,9569.156626506025,0.0019613943173766,8.0,8.0,1.0,700.0,0.0078836375103472,3,3,1.0,200.0,0.0069089401685781,4,4,1.0,300.0,0.006807583648184,0,0,0.0,0.0,0.0,-0.5930694775786942,-1
USA,3210,"Paints and varnishes (including enamels, lacquers and distempers), excluding those of heading no. 3209, prepared water pigments of a kind used for finishing leather",24775.83,24775.83,249.0,9850.132530120482,0.0006055171352242,3.0,3.0,0.0,300.0,0.0029563640663802,2,2,3.0,-33.333333333333336,0.0046059601123854,2,2,0.0,200.0,0.003403791824092,0,0,3.0,-100.0,0.0,-0.5922745406282508,-1
NETHERLANDS,402,Milk and cream; concentrated or containing added sugar or other sweetening matter,15937232.069999998,15937232.069999997,14065653.76,13.306017209967202,0.3895032822888608,868.5,868.5,777.0,11.776061776061775,0.8558673972170759,99,99,100.0,-1.0,0.2279950255630786,796,796,701.0,13.552068473609127,1.3547091459886311,0,0,0.0,0.0,0.0,-0.5905361215550378,-1
COLOMBIA,3401,"Soap; organic surface-active preparations used as soap, skin washing, in bars, cakes, moulded pieces, shapes, liquid or cream, containing soap or not; for retail, paper, wadding, felt and nonwovens, i",953459.5,953459.5,20690.0,4508.310778153697,0.0233023904746024,14.25,14.25,1.0,1325.0,0.014042729315306,4,4,1.0,300.0,0.0092119202247708,9,9,1.0,800.0,0.0153170632084141,0,0,0.0,0.0,0.0,-0.5736146438602306,-1
