Port,Period_kg,Prior_kg,YoY_Pct_kg
PORT-AU-PRINCE,2785097629.91,2591766485.6,7.459435307314862
CAP-HAITIEN,726990596.5,718524867.47,1.1782096087792582
LAFITO,304117720.76,204381984.06,48.79869287829243
SAINT LOUIS DU SUD,165664182.4,0.0,0.0
MIRAGOANE,103982820.86,365580823.44,-71.55681748250508
SAINT MARC,4437294.5,4031957.9699999997,10.053094129847793
GONAIVES,1341344.47,23144.0,5695.6466902869
LES CAYES,30533.0,3675.0,730.8299319727892
PETIT GOAVE,18948.0,39316690.0,-99.95180672635463
